name,observer,sell_rank,price,features,rating,nb_evaluation
Seeburg Acoustic Line GL24 xov,            ,                199            ,    2.755,"Pour applications musicales et discours de haute-qualité,Forme incurvée,Puissance: 600 Watt AES / 1800 Watt crête,Impédance: 5,3 Ohm,6x haut-parleurs 6,5"" avec bobine néodyme et 24 tweeter 1""  avec bobine néodyme,Fréquence de coupure passive interne,Réponse en fréquence: 80 Hz - 20000 Hz,Dispersion: 100° x 20°,SPL max: 130 dB,Montage aérien: 9x M10,Montage sur pied 35 mm,2 poignées à l'arrière,2 fiches Speaker Twist NL4,Dimensions: 1060 x 190 x 343 / 245 mm,Poids: 21,0 kg",5,1
QSC E115,            ,                198            ,    748,"Enceinte large bande,Équipement : haut-parleur 15"" avec bobine 3,5"" et tweeter 1,5"" avec bobine 2,8"",Puissance : 500 Watt puissance continue / 2000 Watt puissance crête,Impédance nominale : 8 Ohm,Angle de dispersion : 75° conique,Réponse en fréquence (-10 dB) : 43 - 20 000 Hz,Niveau de pression acoustique Max (1 m) : 130 dB,Entrées : 2x Speaker Twist (1x parallèle) et borne de connexion avec borniers à vis,2x Bride pour montage sur pied de 35 mm (0° ou -10°),3 points de fixation M10 pour montage aérien,Enceinte en contreplaqué avec laque texturée noire résistante aux chocs,Dimensions (H x L x P) : 720 x 416 x 445 mm,Poids : 34 kg,Couleur : Noir,Housse E115 avec rembourrage de protection en nylon/Cordura robuste, article n° : ,Équerre E115 de fixation en U pour montage vertical et horizontal, article n° : ",,
Dynacord FX12-PRO,            ,                197            ,    2.999,"Type caisson,Disposition coaxiale,Convient pour une distance moyenne,Haut-parleur médium 12"" ND 12 A et tweeter 2,4"" ND 6,Pavillon à directivité constante 80° x 40°,2x fiches Neutrik SpeakOn NL4 (entrée et sortie parallèle),Impédance : 8 Ohm,Puissance : RMS 350 Watt,SPL Max : 106 dB (1W / 1 m),Réponse en fréquence : 120 - 19000 Hz,En contreplaqué de bouleau épais de 15 mm,4 roulettes,2 poignées,Dimensions : 594 x 601 x 808 mm,Poids : 49,5 kg,Couleur : noir",,
the box pro Achat 115 M,            ,                181            ,    492,"Equipped with: 15"" bass and 1.4"" neodymium mid-range/tweeter (3"" voice coil),Multifunctional housing, very versatile,Power capacity: 350 W RMS / 1400 W Peak,Impedance: 8 Ohm,Sound pressure: 131 dB max,Frequency range: 60 Hz - 17 kHz,Dispersion: 60° x 40°,Flange mount,Aeroquip fittings on the top,Anchorage point on the back,Dimensions (W x D x H): 436 x 440 x 766 mm,Colour: Black,Finish: Structure lacquer,Weight: 32 kg,Developed in Germany,Compatible protective case: Article , (not included),Compatible U-bracket: Article , (not included)",4.7,26
FBT J12 J-Series,            ,                196            ,    289,"Enceinte 2 voies avec haut-parleur 12"" et moteur 1"",Puissance: 150 Watt RMS,Réponse en fréquence: 55 - 20000 Hz,Dispersion: 90 ° x 60 °,Entrée et sortie Speaker Twist,Montage aérien: 2x M10,Œillet pour pied d'enceinte 35 mm,Dimensions: 410 x 663 x 387 mm,Poids: 14,1 kg,Boîtier en plastique noir",4.8,4
RCF V 45,            ,                195            ,    1.975,"Puissance admissible: 1800 Watt RMS, 7200 Watt crête,Équipement: 1x haut-parleur de 15"", 1x pilote de compression au néodyme de 4"",Impédance: 8 Ohm,Niveau maximum: 137 dB,Réponse en fréquence: 30 - 20000 Hz,Entrée / sortie Speaker Twist NL4,12x points de montage aérien M10,Dimensions (H x L x P): 1109 x 554 x 579 mm,Poids: 63 kg",,
the box Pyrit 10 Bundle,            ,                157            ,    398,"Enceinte large bande passive 2 voies 10"" + 1,4"",Moteur à compression en titane,Puissance: 250 Watt (RMS) / 1000 Watt (crête),Impédance: 8 Ohm,Réponse en fréquence: 55 Hz - 20 kHz,Dispersion: 90° x 60°,SPL max: 122 dB,Œillet 2 positions (0° et 5°) pour pied d'enceinte,Pieds pour position bain de pieds,Montage aérien M6,Dimensions: 306 x 238 x 516 mm,Poids: 13,2 kg,Housse disponible en option, article n°: ,Set de 2 pieds d'enceintes + housse,En acier,Supporte une charge centrée max. de 45 kg,Supporte une charge max. de 40 kg à la hauteur max.,Hauteur réglable de 130 à env. 200 cm,Diamètre du tube d'extension: 35 mm,Poids d'un pied: 3,6 kg,Couleur: Noir,Housse de transport incl.",,
Fun Generation PL 115 P,            ,                194            ,    88,"Equipped with: 15"" woofer, 1"" tweeter,Power rating: 800 W peak,Impedance: 8 Ohm,Max. SPL (sound pressure level): 115 dB,Frequency range: 70 - 19,000 Hz,Connections: 2x NL4 (in/out),Robust plastic housing with stand flange mount and carrying handles,Dimensions (H x W x D): 740 x 480 x 390 mm,Weight: 11 kg,Suitable cover available under Article Nr , (not included)",4.3,57
dB Technologies LVX P10 B-Stock,            ,                155            ,    206,"Haut-parleur de 10"" et tweeter 1"" avec pavillon rotatif,Dispersion : 90° x 70°,Puissance : 600 Watt,Impédance : 8 Ohm,Réponse en fréquence : 73 - 19.000 Hz,SPL max : 125 dB,Bride de trépied : 36mm,Angle position bain de pieds : 40°,Points de montage aérien : M8,Connecteurs Speaker Twist,Dimensions (LxHxP) : 300 x 496 x 238 mm,Poids : 9,3 kg,Couleur : noir",,
LD Systems Stinger 28 G3 B-Stock,            ,                171            ,    314,"Montage Bass-Reflex,Haut-parleurs: 2x 8"",Capacité de charge: 400 Watt RMS (800 Watt crête),Niveau maximum: 125 dB,Réponse en fréquence: 58 - 20 000 Hz,Impédance: 8 Ohms,Angle de dispersion (H x V): 90 x 50 °,Panneau de connexion avec 2x fiches Speaker Twist,Enceinte en contreplaqué de bouleau,Montage sur trépied de 36 mm avec double inclinaison,3x points de montage aérien,Dimensions: 270 x 756 x 290 mm,Poids: 19,3 kg",,
Turbosound TPX 152,            ,                193            ,    229,"Équipement : haut-parleur 15"" et pilote de compression 1"",Puissance : 250 Watt continu, 1000 Watt crête,Pression sonore caractéristique (1W/1m) : 97 dB,Niveau maximal : 121 dB,Impédance : 8 Ohm,Réponse en fréquence (±3 dB) : 50 - 20000 Hz,Entrée / sortie Speaker Twist,Bride de haut-parleur 35 mm,Enceinte en bois contreplaqué de 18 mm avec revêtement en feutre,Dimensions (H x L x P) : 708 x 463 x 439 mm,Poids : 24,8 kg,Couleur : Noir",4.8,4
